 ,X,Y
1,30.514,0.793
2,110.406,1.708
3,135.706,6.157
4,57.105,16.085
5,93.086,18.351
6,64.433,35.713
7,122.771,41.740
8,96.178,40.655
9,23.046,43.471
10,115.568,42.046
11,37.608,49.886
12,4.269,52.637
13,106.807,58.507
14,75.228,62.191
15,121.958,63.662
16,80.357,75.840
17,54.750,79.364
18,120.587,89.829
19,42.884,93.224
20,3.925,98.362
21,102.998,104.682
22,72.511,111.262
23,126.982,113.580
24,48.662,118.542
25,108.525,118.553
26,88.584,120.552
27,28.151,132.812
28,148.962,135.430
29,130.185,135.397
30,122.068,142.078
31,141.251,145.122
32,42.333,147.102
33,112.317,151.568
34,81.118,150.442
35,158.615,152.926
36,72.550,162.709
37,147.169,157.257
38,130.123,170.428
39,145.474,173.790
40,106.154,174.617
41,34.562,175.978
42,84.104,181.775
43,1.342,184.130
44,169.531,190.444
45,40.605,184.043
46,24.347,190.426
47,148.124,195.920
48,123.366,197.878
49,183.966,199.979
50,103.213,199.219
51,10.788,199.728
52,65.956,206.972
53,49.276,209.486
54,165.549,208.572
55,33.460,214.809
56,199.748,220.695
57,116.333,221.895
58,162.624,223.908
59,141.779,224.864
60,65.753,219.202
61,7.089,227.966
62,75.559,227.465
63,51.146,228.127
64,102.889,231.380
65,185.245,230.523
66,134.227,234.839
67,200.236,236.787
68,31.979,240.566
69,64.866,241.461
70,93.760,242.832
71,139.782,243.928
72,185.998,244.243
73,125.456,244.457
74,146.802,244.590
